# निर्णयपञ्जिका — keyed on नाम's content addresses and the probe's own digest.  A row stands until one of them moves.
# ROOTS: formal/cubical:/root/.cache/cubical-v0.9/Cubical
# TOOLCHAIN: Agda version 2.8.0 Built with flags (cabal -f)  - optimise-heavily: extra optimisations | libraries: /root/.cache/cubical-v0.9/cubical.agda-lib ; /home/user/math/formal/cubical/natural-machine.agda-lib
# The pin is Agda 2.8.0 / cubical v0.9 (formal/cubical/check.sh).  A row produced off-pin is evidence about THIS toolchain, not about the corpus.
# addrF	addrG	rung	probe	verdict	class	where	obligation
29cba676a7de1b3a	e39e0f4dd3ba0eda	१ refl	c25a70fed9565aff	Refused	library lemma on ℤ	NaturalMachine.S3IntegerRelativeCoordinates : relativeCoordinates ⇄ relativeFromCoordinates	Cubical.Data.Int.Base.- (relativeCoordinates a .fst Cubical.Data.Int.Base.+ a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₁) != a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₂ of type
7467f47a77cde646	7467fa7a77cdf078	५ induction	8bbaef04919e728e	Refused	खण्डितम् · distinct numerals 1 ≠ 0	NaturalMachine.SieveFiber : q ⇄ σ	1 != 0 of type Cubical.Data.Nat.ℕ when checking that the expression refl has type σ (q zero) ≡ zero
ebdf500165adc8c2	eb127da33ef28e75	५ induction	692422ce00ef89a2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₂₁ ⇄ π₂₁	zero != b .snd of type Cubical.Data.Nat.ℕ when checking that the expression refl has type s₂₁ (π₂₁ b) ≡ b
90165ce228fac29c	ed0a1941e0defa48	१ refl	8a14f5e4b6dc5fb2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₃₂ ⇄ π₃₂	Agda.Builtin.Nat.Nat.zero != b .snd .snd of type Agda.Builtin.Nat.Nat when checking that the expression refl has type s₃₂ (π₃₂ b) ≡ b
a2feba608321e7de	747c777a77df6de9	१ refl	826f1a0a51de2266	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : colsOf ⇄ fromCols	mkCol (colsOf a .fst) (colsOf a .snd .fst) (colsOf a .snd .snd) x x₁ != a x x₁ of type Cubical.Data.Int.Base.ℤ when checking that the expression refl has type
6e3a167e00846e4a	919e0ce5e50eda23	१ refl	b5f97f11b27838d4	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : entriesOf ⇄ fromNine	mk3 (entriesOf a .fst .fst) (entriesOf a .fst .snd .fst) (entriesOf a .fst .snd .snd) (entriesOf a .snd .fst .fst) (entriesOf a .snd .fst .snd .fst) (entriesOf a .snd .fst .snd .snd) (entriesOf a .snd .snd .fst) (entriesOf a .snd
6f9f393bb0f44633	11a11190f7eca594	५ induction	960e412ae7d8c19b	Refused	host type · NaturalMachine.Obstruction.Tm	NaturalMachine.TermFreeMonoid : fromList ⇄ toList	fromList (toList b) != b of type NaturalMachine.Obstruction.Tm when checking that the expression refl has type fromList (toList b) ≡ b
e4a78f7ab748129c	e4a7987ab74821e7	५ induction	60c76c68a5c45cc2	Refused	induction on ℕ	PingalaPrastara : aksara ⇄ parity	suc (aksara (parity w₀)) != aksara (parity (suc w₀)) of type Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → suc z) (अनुलोमन w₀) has type aksara (parity (suc w₀)) ≡ suc w₀
7d49cfb4546f5e9d	e4aa947ab74a50f2	५ induction	e1da1d2b400f25d8	Refused	induction on List	PingalaPrastara : allLaghu ⇄ uddista	w₀ ∷ allLaghu (uddista w₁) != allLaghu (aksara w₀ Cubical.Data.Nat.+ (uddista w₁ Cubical.Data.Nat.+ uddista w₁))
e4aa9c7ab74a5e8a	e485937ab72b3302	२/३ split	f82fa5524935017e	Accepted	restates a host Iso	ProjectionChargeAudit : decode ⇄ encode	
edacc57abc7dfab5	ed9bcd7abc6f951a	१ refl	d1c334012eb9b11d	Refused	library lemma on ℤ	Rupasamata_TheTwoByTwoMatrixAndTheFourTupleAreOneObjectAndMultiplicationAgrees : fromTuple ⇄ toTuple	fromTuple (toTuple b) x x₁ != b x x₁ of type Cubical.Data.Int.Base.ℤ when checking that the expression refl has type fromTuple (toTuple b) ≡ b
a544c3bb92313a2a	aa760401703c95c9	५ induction	961be95545afc418	Refused	induction on ℕ	SamaVisama_TheCountSplitsByParityIntoTwoCopiesOfItselfAndEachNayaIsTheWhole : merge ⇄ split	suc (merge (split w₀)) != merge (flip (split w₀)) of type Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → suc z) (अनुलोमन w₀) has type merge (split (suc w₀)) ≡ suc w₀
ed98417abc6c715f	33f89149cf1a517d	४ Σ≡Prop	55720b800d53dc2e	Refused	case on Bool	SaptabhangiNaya : code' ⇄ decode	code (Cubical.Data.Empty.Base.rec (snd₁ (λ _ → false , false , false))) .fst != false of type Cubical.Data.Bool.Bool
0074dc7fb67fbc88	691b9dd8cf682647	५ induction	3b72d305771d6bb2	Refused	induction on List	Swarm.S13OptionSpread : ones ⇄ sum	w₀ ∷ ones (sum w₁) != ones (w₀ Cubical.Data.Nat.+ sum w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → w₀ ∷ z) (अनुलोमन w₁) has type ones (sum (w₀ ∷ w₁)) ≡ w₀ ∷ w₁
ebf0bae7624ae56b	ad4682dae9c7d6b3	२/३ split	d96179280d26c09f	Refused	unclassified	WallCertificate : classOf ⇄ visible	Cubical.HITs.SetQuotients.Base._/_.[ visible b , false ] != b of type State Cubical.HITs.SetQuotients.Base./ _≈_ when checking that the expression refl has type classOf (visible b) ≡ b
